StGg;ver;weibl;Raum;total;Note
CWL;3;1;H3;54;5,0
CWL;1;1;H3;84;4,0
CWL;1;0;H3;58;5,0
CWL;1;0;H3;121;3,0
CWL;1;1;H3;72;5,0
CWL;1;1;H3;146;2,0
WIWL;1;0;H3;90;3,0
CWL;1;0;H3;56;5,0
CWL;2;1;H3;97;3,0
WIWL;1;0;H3;88;4,0
WIWL;2;0;H3;37;5,0
WIWL;1;0;H3;82;4,0
WIWL;1;1;H3;48;5,0
CWL;1;0;H3;90;3,0
WIWL;1;0;H3;111;3,0
WIWL;1;0;H3;95;3,0
CWL;1;1;H3;111;3,0
CWL;1;1;H3;98;3,0
CWL;1;1;H3;52;5,0
CWL;1;1;H3;50;5,0
CWL;1;1;H3;114;3,0
CWL;1;0;H3;148;2,0
CWL;1;1;H3;152;1,0
WIWL;1;0;H3;104;3,0
CWL;1;0;H3;66;5,0
WIWL;1;0;H3;84;4,0
WIWL;1;0;H3;80;4,0
CWL;1;0;H3;65;5,0
CWL;1;0;H3;64;5,0
WIWL;1;0;H3;112;3,0
CWL;3;0;H3;69;5,0
CWL;1;0;H3;100;3,0
WIWL;1;0;H3;80;4,0
CWL;2;0;H3;92;3,0
CWL;1;1;H3;104;3,0
CWL;1;0;H3;79;5,0
WIWL;1;0;H3;100;3,0
CWL;1;1;H3;87;4,0
WIWL;1;0;H3;60;5,0
CWL;1;0;H3;32;5,0
CWL;1;1;H3;54;5,0
CWL;1;0;H3;101;3,0
CWL;1;0;H3;90;3,0
WIWL;3;1;H3;100;3,0
CWL;1;1;H3;89;4,0
CWL;2;0;H3;124;2,0
CWL;1;1;H3;94;3,0
CWL;1;1;H3;82;4,0
CWL;1;1;H3;115;3,0
CWL;3;0;H3;80;4,0
CWL;1;1;H3;76;5,0
CWL;1;0;H3;60;5,0
CWL;1;0;H3;73;5,0
CWL;1;0;H3;72;5,0
WIWL;1;0;H3;67;5,0
CWL;1;1;H3;53;5,0
CWL;1;0;H3;50;5,0
WIWL;1;1;H3;81;4,0
WIWL;1;0;H3;96;3,0
CWL;1;1;H3;86;4,0
CWL;1;0;H3;105;3,0
WIWL;1;1;H3;90;3,0
CWL;1;0;H3;160;1,0
CWL;1;0;H3;142;2,0
CWL;1;0;H3;60;5,0
CWL;2;0;H3;79;5,0
CWL;1;0;H3;71;5,0
WIWL;1;0;H3;62;5,0
WIWL;1;1;H4;61;5,0
CWL;1;1;H4;80;4,0
WIWL;1;0;H4;123;2,0
CWL;1;0;H4;146;2,0
WIWL;3;0;H4;84;4,0
WIWL;1;0;H4;96;3,0
WIWL;1;0;H4;138;2,0
WIWL;1;0;H4;58;5,0
CWL;1;0;H4;84;4,0
CWL;1;0;H4;88;4,0
CWL;1;0;H4;98;3,0
CWL;3;0;H4;73;5,0
CWL;2;0;H4;36;5,0
WIWL;1;0;H4;123;2,0
CWL;1;0;H4;146;2,0
WIWL;1;0;H4;98;3,0
CWL;1;0;H4;57;5,0
CWL;2;0;H4;70;5,0
CWL;1;1;H4;104;3,0
CWL;1;1;H4;110;3,0
CWL;1;0;H4;94;3,0
WIWL;1;0;H4;134;2,0
WIWL;1;1;H4;61;5,0
WIWL;1;0;H4;53;5,0
CWL;1;0;H4;70;5,0
WIWL;1;0;H4;157;1,0
WIWL;2;0;H4;61;5,0
WIWL;1;0;H4;98;3,0
CWL;1;0;H4;18;5,0
WIWL;1;1;H4;118;3,0
CWL;1;0;H4;109;3,0
WIWL;1;0;H4;64;5,0
CWL;1;0;H4;115;3,0
WIWL;1;1;H4;114;3,0
WIWL;1;0;H4;146;2,0
CWL;1;0;H4;46;5,0
CWL;1;0;H4;52;5,0
WIWL;1;0;H4;49;5,0
WIWL;1;0;H4;74;5,0
CWL;2;0;H4;40;5,0
CWL;1;0;H4;92;3,0
CWL;1;1;H4;64;5,0
CWL;1;0;H4;74;5,0
CWL;1;1;H4;52;5,0
CWL;1;1;H4;80;4,0
WIWL;1;0;H4;102;3,0
CWL;1;0;H4;122;2,0
WIWL;1;0;H4;150;2,0
CWL;1;1;H4;99;3,0
CWL;1;0;H4;59;5,0
CWL;1;0;H4;85;4,0
CWL;1;0;H4;110;3,0
CWL;1;1;H4;96;3,0
CWL;1;1;H4;62;5,0
WIWL;3;0;H4;89;4,0
CWL;1;1;H4;127;2,0
CWL;1;0;H4;88;4,0
CWL;1;0;H4;96;3,0
CWL;2;0;H4;52;5,0
CWL;1;0;H4;16;5,0
WIWL;1;0;H4;85;4,0
CWL;1;0;H4;100;3,0
CWL;1;0;H4;17;5,0
CWL;1;1;H4;86;4,0
CWL;1;0;H4;78;5,0
WIWL;1;0;H4;108;3,0
CWL;1;0;H4;112;3,0
CWL;1;0;H4;138;2,0
CWL;1;1;H4;74;5,0
WIWL;1;0;H4;120;3,0
WIWL;2;0;H4;81;4,0
CWL;1;1;H4;94;3,0
WIWL;1;1;H4;68;5,0
CWL;1;1;H4;74;5,0
CWL;1;1;H4;114;3,0
CWL;1;0;H4;86;4,0
CWL;1;0;H4;137;2,0
CWL;1;1;H4;38;5,0
CWL;1;0;H4;78;5,0
WIWL;1;1;H4;48;5,0
CWL;1;0;H4;100;3,0
CWL;1;1;H4;72;5,0
CWL;1;1;H4;88;4,0
CWL;1;1;H1;72;5,0
CWL;1;0;H1;98;3,0
WIWL;1;0;H1;112;3,0
WIWL;1;0;H1;98;3,0
WIWL;1;1;H1;58;5,0
WIWL;1;1;H1;150;2,0
CWL;1;1;H1;100;3,0
CWL;1;1;H1;110;3,0
CWL;2;0;H1;93;3,0
WIWL;1;0;H1;130;2,0
CWL;1;0;H1;56;5,0
WIWL;1;0;H1;78;5,0
CWL;1;0;H1;76;5,0
CWL;1;1;H1;36;5,0
WIWL;1;1;H1;52;5,0
CWL;1;0;H1;110;3,0
WIWL;1;0;H1;66;5,0
CWL;1;0;H1;38;5,0
WIWL;2;1;H1;40;5,0
CWL;1;0;H1;153;1,0
WIWL;2;0;H1;47;5,0
WIWL;1;0;H1;62;5,0
WIWL;1;0;H1;82;4,0
CWL;1;0;H1;53;5,0
CWL;1;1;H1;52;5,0
CWL;1;0;H1;118;3,0
CWL;2;0;H1;70;5,0
CWL;1;0;H1;84;4,0
WIWL;1;0;H1;107;3,0
CWL;1;0;H1;122;2,0
CWL;1;0;H1;126;2,0
CWL;2;0;H1;85;4,0
CWL;1;0;H1;106;3,0
WIWL;1;0;H1;136;2,0
CWL;1;1;H1;134;2,0
CWL;1;1;H1;130;2,0
CWL;1;0;H1;114;3,0
WIWL;1;0;H1;74;5,0
CWL;1;0;H1;103;3,0
CWL;1;0;H1;119;3,0
CWL;1;1;H1;162;1,0
CWL;1;0;H1;102;3,0
WIWL;1;0;H1;71;5,0
CWL;1;0;H1;102;3,0
CWL;1;0;H1;64;5,0
CWL;1;0;H1;37;5,0
CWL;1;0;H1;98;3,0
WIWL;1;1;H1;152;1,0
WIWL;1;0;H1;98;3,0
CWL;1;0;H1;83;4,0
CWL;1;0;H1;34;5,0
CWL;1;0;H1;82;4,0
CWL;1;1;H1;94;3,0
CWL;1;0;H1;62;5,0
CWL;1;1;H1;82;4,0
WIWL;1;0;H1;122;2,0
CWL;1;1;H1;100;3,0
WIWL;1;0;H1;128;2,0
CWL;1;0;H1;137;2,0
CWL;1;0;H1;132;2,0
CWL;1;0;H1;72;5,0
CWL;1;1;H1;174;1,0
CWL;1;0;H1;54;5,0
CWL;1;1;H1;40;5,0
WIWL;1;0;H1;105;3,0
WIWL;1;0;H1;82;4,0
CWL;1;0;H1;107;3,0
CWL;1;0;H1;64;5,0
CWL;1;1;H1;44;5,0
CWL;1;0;H1;58;5,0
CWL;1;0;H1;156;1,0
CWL;1;0;H1;58;5,0
CWL;1;1;H1;72;5,0
CWL;2;0;H1;50;5,0
CWL;1;1;H1;70;5,0
CWL;1;1;H1;78;5,0
WIWL;1;1;H1;77;5,0
WIWL;1;0;H1;75;5,0
CWL;1;0;H1;80;4,0
WIWL;2;1;H1;37;5,0
CWL;1;1;H1;112;3,0
CWL;1;0;H1;139;2,0
CWL;1;1;H1;86;4,0
CWL;1;0;H1;97;3,0
WIWL;2;0;H1;74;5,0
CWL;3;0;H1;88;4,0
CWL;2;0;H1;68;5,0
CWL;1;1;H1;134;2,0
WIWL;1;0;H1;136;2,0
CWL;1;0;H1;76;5,0
WIWL;2;0;H1;69;5,0
CWL;2;1;H1;68;5,0
WIWL;2;0;H1;111;3,0
CWL;1;1;H1;108;3,0
CWL;1;0;H1;132;2,0
CWL;1;0;H1;138;2,0
CWL;1;1;H1;118;3,0
CWL;1;0;H1;86;4,0
CWL;1;0;H1;95;3,0
CWL;1;1;H1;42;5,0
CWL;1;0;H1;10;5,0
WIWL;2;0;H1;88;4,0
CWL;1;1;H1;96;3,0
CWL;1;0;H1;18;5,0
WIWL;1;0;H1;126;2,0
CWL;1;1;H1;110;3,0
CWL;1;0;H1;97;3,0
WIWL;1;0;H1;107;3,0
CWL;1;0;H1;135;2,0
WIWL;1;0;H1;65;5,0
WIWL;2;0;H1;81;4,0
WIWL;1;0;H1;140;2,0
WIWL;1;1;H1;94;3,0
CWL;2;0;H1;32;5,0
CWL;3;0;H1;110;3,0
WIWL;1;0;H1;112;3,0
CWL;1;1;H1;108;3,0
WIWL;2;1;H1;84;4,0
WIWL;1;0;H1;111;3,0
WIWL;1;1;H1;115;3,0
WIWL;1;1;H1;124;2,0
WIWL;3;1;H1;76;5,0
CWL;1;0;H1;126;2,0
CWL;1;0;H1;19;5,0
CWL;1;0;H1;140;2,0
CWL;1;1;H1;92;3,0
CWL;1;1;H1;88;4,0
CWL;1;1;H1;85;4,0
CWL;1;0;H1;115;3,0
WIWL;1;0;H1;78;5,0
CWL;1;1;H1;84;4,0
CWL;1;1;H1;76;5,0
CWL;1;0;H1;82;4,0
CWL;1;1;H1;77;5,0
WIWL;1;0;H1;98;3,0
CWL;1;0;H1;118;3,0
CWL;1;0;H1;110;3,0
CWL;1;1;H1;112;3,0
WIWL;1;1;H1;45;5,0
WIWL;1;0;H1;146;2,0
WIWL;1;0;H1;77;5,0
CWL;1;1;H1;64;5,0
WIWL;1;0;H2;152;1,0
WIWL;1;1;H2;76;5,0
CWL;1;0;H2;50;5,0
CWL;1;1;H2;100;3,0
WIWL;1;0;H2;88;4,0
CWL;1;1;H2;96;3,0
CWL;1;0;H2;84;4,0
CWL;1;0;H2;68;5,0
CWL;1;0;H2;88;4,0
CWL;1;1;H2;64;5,0
CWL;1;1;H2;90;3,0
CWL;1;0;H2;71;5,0
WIWL;1;1;H2;142;2,0
WIWL;1;0;H2;132;2,0
CWL;1;0;H2;72;5,0
CWL;1;1;H2;60;5,0
WIWL;1;1;H2;90;3,0
CWL;3;0;H2;57;5,0
CWL;1;0;H2;129;2,0
WIWL;1;0;H2;44;5,0
CWL;1;0;H2;148;2,0
CWL;1;0;H2;110;3,0
CWL;1;0;H2;82;4,0
CWL;2;0;H2;70;5,0
WIWL;1;0;H2;164;1,0
CWL;1;1;H2;60;5,0
CWL;1;0;H2;77;5,0
CWL;1;0;H2;124;2,0
CWL;1;0;H2;82;4,0
CWL;1;1;H2;88;4,0
WIWL;1;1;H2;84;4,0
CWL;1;1;H2;83;4,0
CWL;2;0;H2;76;5,0
CWL;1;0;H2;104;3,0
WIWL;1;0;H2;106;3,0
CWL;1;0,0;H2;70;5,0
CWL;1;0,0;H2;132;2,0
CWL;1;1;H2;69;5,0
CWL;1;0;H2;40;5,0
WIWL;1;1;H2;84;4,0
CWL;1;1;H2;101;3,0
CWL;1;0;H2;94;3,0
CWL;1;0;H2;110;3,0
CWL;1;0;H2;127;2,0
WIWL;1;0;H2;119;3,0
WIWL;1;0;H2;98;3,0
CWL;1;0;H2;83;4,0
CWL;1;0;H2;130;2,0
CWL;1;1;H2;126;2,0
CWL;1;0;H2;113;3,0
CWL;1;0;H2;68;5,0
CWL;1;1;H2;126;2,0
CWL;1;0;H2;48;5,0
CWL;1;1;H2;118;3,0
WIWL;1;1;H2;93;3,0
WIWL;1;0;H2;66;5,0
WIWL;1;0;H2;100;3,0
WIWL;1;0;H2;69;5,0
CWL;1;0;H2;65;5,0
CWL;1;1;H2;70;5,0
CWL;1;0;H2;78;5,0
CWL;1;1;H2;58;5,0
CWL;1;0;H2;122;2,0
WIWL;1;0;H2;46;5,0
CWL;1;0;H2;116;3,0
WIWL;1;0;H2;40;5,0
WIWL;1;1;H2;79;5,0
WIWL;2;0;H2;79;5,0
CWL;1;1;H2;85;4,0
CWL;1;0;H2;144;2,0
CWL;1;1;H2;66;5,0
CWL;1;1;H5;103;3,0
CWL;1;0;H5;72;5,0
CWL;1;0;H5;68;5,0
WIWL;1;0;H5;90;3,0
CWL;1;0;H5;41;5,0
CWL;1;1;H5;140;2,0
CWL;1;1;H5;100;3,0
CWL;1;0;H5;108;3,0
CWL;1;1;H5;48;5,0
CWL;1;1;H5;84;4,0
WIWL;1;0;H5;87;4,0
CWL;1;0;H5;68;5,0
CWL;1;0;H5;74;5,0
CWL;3;0;H5;85;4,0
CWL;1;1;H5;88;4,0
CWL;3;0;H5;104;3,0
WIWL;1;1;H5;46;5,0
WIWL;2;1;H5;72;5,0
CWL;1;0;H5;64;5,0
CWL;1;0;H5;130;2,0
CWL;2;0;H5;61;5,0
WIWL;1;1;H5;106;3,0
CWL;1;0;H5;104;3,0
CWL;1;0;H5;86;4,0
CWL;1;0;H5;30;5,0
CWL;1;1;H5;51;5,0
WIWL;1;0;H5;87;4,0
WIWL;1;0;H5;50;5,0
CWL;1;0;H5;111;3,0
WIWL;1;1;H5;82;4,0
CWL;1;0;H5;125;2,0
CWL;1;1;H5;68;5,0
CWL;1;1;H5;73;5,0
CWL;1;1;H5;86;4,0
CWL;1;1;H5;132;2,0
WIWL;1;1;H5;78;5,0
CWL;1;0;H5;121;3,0
WIWL;1;0;H5;46;5,0
CWL;1;1;H5;89;4,0
CWL;1;0;H5;78;5,0
CWL;1;0;H5;82;4,0
CWL;1;0;H5;72;5,0
CWL;1;0;H5;74;5,0
CWL;1;0;H5;100;3,0
CWL;2;1;H5;78;5,0
CWL;1;0;H5;134;2,0
WIWL;1;1;H5;76;5,0
WIWL;1;0;H5;59;5,0
WIWL;1;0;H6;39;5,0
CWL;1;1;H6;86;4,0
CWL;1;1;H6;146;2,0
WIWL;1;0;H6;76;5,0
CWL;1;0;H6;64;5,0
WIWL;1;0;H6;56;5,0
CWL;1;0;H6;104;3,0
CWL;1;1;H6;84;4,0
WIWL;2;0;H6;106;3,0
CWL;1;0;H6;154;1,0
CWL;1;1;H6;84;4,0
CWL;1;1;H6;87;4,0
WIWL;1;0;H6;92;3,0
CWL;1;1;H6;44;5,0
CWL;1;0;H6;102;3,0
WIWL;1;0;H6;72;5,0
CWL;1;0;H6;56;5,0
WIWL;2;1;H6;42;5,0
CWL;1;1;H6;74;5,0
WIWL;2;0;H6;58;5,0
CWL;1;0;H6;54;5,0
CWL;1;1;H6;70;5,0
WIWL;1;0;H6;83;4,0
CWL;1;0;H6;92;3,0
CWL;1;0;H6;127;2,0
CWL;1;0;H6;144;2,0
CWL;1;0;H6;136;2,0
CWL;1;0;H6;20;5,0
CWL;1;0;H6;146;2,0
CWL;1;1;H6;84;4,0
WIWL;1;0;H6;86;4,0
CWL;1;1;H6;55;5,0
CWL;1;0;H6;138;2,0
CWL;1;0;H6;67;5,0
WIWL;1;0;H6;43;5,0
CWL;1;0;H6;78;5,0
CWL;1;1;H6;78;5,0
CWL;1;0;H6;117;3,0
CWL;1;1;H6;96;3,0
WIWL;2;1;H6;82;4,0
WIWL;1;0;H6;70;5,0
CWL;1;1;H6;66;5,0
CWL;1;0;H6;122;2,0
WIWL;1;0;H6;124;2,0
WIWL;1;0;H6;24;5,0
CWL;1;0;H6;110;3,0
CWL;1;0;H6;137;2,0
CWL;1;1;H6;61;5,0
CWL;1;0;H6;138;2,0
CWL;1;0;H6;170;1,0
CWL;1;0;H6;109;3,0
WIWL;1;0;H6;98;3,0
CWL;1;1;H6;76;5,0
WIWL;3;1;H6;82;4,0
CWL;1;1;H6;82;4,0
CWL;1;0;H6;122;2,0
WIWL;1;0;H6;104;3,0
WIWL;1;0;H6;95;3,0
CWL;1;0;H6;126;2,0
